State,Week_Ending,"Week ending Sunday, 5th April 2026","Week ending Sunday, 5th April 2026","Week ending Sunday, 5th April 2026","Week ending Sunday, 5th April 2026","Week ending Sunday, 5th April 2026","Week ending Sunday, 5th April 2026"
,,Location,Weekly Average,Weekly Change,Variation,Weekly low,Weekly high
National,"Week ending Sunday, 5th April  2026",National Average,240.1,-13.3,+1.2,228.2,258.9
National,"Week ending Sunday, 5th April  2026",Total Metropolitan Average,238.9,-13.6,-,226.6,258.5
National,"Week ending Sunday, 5th April  2026",5 Capital City Average,238.3,-14.6,-0.6,225.9,258.3
National,"Week ending Sunday, 5th April  2026",Total Regional Average,242.6,-12.6,+3.7,231.5,259.6
NSW ACT,"Week ending Sunday, 5th April  2026",NSW State Average,240.5,-11.8,+1.1,228.3,258.3
NSW ACT,"Week ending Sunday, 5th April  2026",Sydney,239.4,-11.6,-,226.9,257.9
NSW ACT,"Week ending Sunday, 5th April  2026",Canberra,237.7,-14.6,-1.7,224.6,258.1
NSW ACT,"Week ending Sunday, 5th April  2026",NSW Regional Average,242.3,-11.8,+2.9,230.6,258.8
NSW ACT,"Week ending Sunday, 5th April  2026",Albury,241.2,-12.8,+1.8,231.0,258.4
NSW ACT,"Week ending Sunday, 5th April  2026",Armidale,239.5,-5.8,+0.1,233.0,249.2
NSW ACT,"Week ending Sunday, 5th April  2026",Ballina,252.3,-5.7,+12.9,241.6,262.5
NSW ACT,"Week ending Sunday, 5th April  2026",Batemans Bay,240.7,-11.7,+1.4,229.2,256.4
NSW ACT,"Week ending Sunday, 5th April  2026",Bathurst,242.2,-9.7,+2.8,229.4,259.0
NSW ACT,"Week ending Sunday, 5th April  2026",Bega,246.3,-9.2,+6.9,234.6,261.4
NSW ACT,"Week ending Sunday, 5th April  2026",Broken Hill,245.4,-18.2,+6.0,233.5,267.9
NSW ACT,"Week ending Sunday, 5th April  2026",Bulahdelah,240.5,-18.6,+1.1,224.9,262.3
NSW ACT,"Week ending Sunday, 5th April  2026",Buronga,246.1,-14.1,+6.8,229.4,262.9
NSW ACT,"Week ending Sunday, 5th April  2026",Casino,241.8,-14.9,+2.4,231.1,260.3
NSW ACT,"Week ending Sunday, 5th April  2026",Central Coast,240.0,-12.0,+0.6,227.5,257.4
NSW ACT,"Week ending Sunday, 5th April  2026",Coffs Harbour,243.6,-15.3,+4.2,230.4,263.0
NSW ACT,"Week ending Sunday, 5th April  2026",Cooma,254.5,-4.6,+15.2,246.3,263.3
NSW ACT,"Week ending Sunday, 5th April  2026",Cootamundra,268.4,-0.6,+29.0,264.5,271.5
NSW ACT,"Week ending Sunday, 5th April  2026",Deniliquin,250.1,-11.9,+10.7,238.2,266.5
NSW ACT,"Week ending Sunday, 5th April  2026",Dubbo,238.5,-17.5,-0.9,227.6,260.8
NSW ACT,"Week ending Sunday, 5th April  2026",Forbes,251.2,-9.5,+11.8,242.1,268.2
NSW ACT,"Week ending Sunday, 5th April  2026",Forster,240.7,-11.2,+1.3,231.2,255.2
