POSTCODE,STATE,STATE_CODE,AREA_TYPE,SA4_NAME_2021,SA4_CODE_2021,SA2_NAME_2021
0800,NT,7,regional,Darwin,701,Darwin City
0810,NT,7,regional,Darwin,701,Lyons (NT)
0812,NT,7,regional,Darwin,701,Karama
0820,NT,7,regional,Darwin,701,Stuart Park
0822,NT,7,regional,Northern Territory - Outback,702,East Arnhem
0828,NT,7,regional,Darwin,701,Berrimah
0829,NT,7,regional,Darwin,701,Howard Springs
0830,NT,7,regional,Darwin,701,Durack - Marlow Lagoon
0832,NT,7,regional,Darwin,701,Rosebery - Bellamack
0834,NT,7,regional,Darwin,701,Virginia
0835,NT,7,regional,Darwin,701,Howard Springs
0836,NT,7,regional,Darwin,701,Humpty Doo
0837,NT,7,regional,Darwin,701,Weddell
0838,NT,7,regional,Darwin,701,Weddell
0839,NT,7,regional,Darwin,701,Virginia
0840,NT,7,regional,Northern Territory - Outback,702,Alligator
0841,NT,7,regional,Darwin,701,Weddell
0845,NT,7,regional,Northern Territory - Outback,702,Alligator
0846,NT,7,regional,Northern Territory - Outback,702,Alligator
0847,NT,7,regional,Northern Territory - Outback,702,Daly
0850,NT,7,regional,Northern Territory - Outback,702,Katherine
0852,NT,7,regional,Northern Territory - Outback,702,Victoria River
0853,NT,7,regional,Northern Territory - Outback,702,Katherine
0854,NT,7,regional,Northern Territory - Outback,702,Gulf
0860,NT,7,regional,Northern Territory - Outback,702,Tennant Creek
0862,NT,7,regional,Northern Territory - Outback,702,Barkly
0870,NT,7,regional,Northern Territory - Outback,702,East Side
0872,NT,7,regional,Northern Territory - Outback,702,Sandover - Plenty
0873,NT,7,regional,Northern Territory - Outback,702,Ross
0874,NT,7,regional,Northern Territory - Outback,702,Mount Johns
0875,NT,7,regional,Northern Territory - Outback,702,Larapinta
0880,NT,7,regional,Northern Territory - Outback,702,Nhulunbuy
0885,NT,7,regional,Northern Territory - Outback,702,Anindilyakwa
0886,NT,7,regional,Northern Territory - Outback,702,Alligator
